l3label,l2label
Acoustics,Mechanical Engineering
Acoustics,Physics
Agricultural Engineering,Civil Engineering
Agricultural Engineering,Mechanical Engineering
Agriculture,Life Science
Analytical Chemistry,Chemistry
Ancient Cultures,Humanities
Anthropology,Humanities
Applied Mathematics,Mathematics
Architecture,Civil Engineering
Artificial Intelligence,Computer Science
Astrophysics and Astronomy,Physics
Atmospheric Science,Earth Science
"Atomic, Molecular, Optical and Plasma Physics",Physics
Biochemistry,Chemistry
Biology,Life Science
Biomaterials,Materials Science
Biomimetic Chemistry,Chemistry
Biophysics,Physics
Building Engineering Physics,Physics
Chemical Engineering,Chemistry
Chemical Engineering,Process Engineering
Cheminformatics,Chemistry
Coating and Surface Technology,Materials Engineering
Component Engineering,Electrical Engineering
Composite Materials,Materials Engineering
Computational Biology,Computer Science
Computational Chemistry,Computer Science
Computational Neuroscience,Computer Science
Computational Neuroscience,Electrical Engineering
Computational Neuroscience,Physics
Computer Architecture,Computer Science
Condensed Matter Physics,Physics
Construction Engineering,Civil Engineering
Data Mining,Computer Science
Data Visualization,Computer Science
Digital Image Processing,Computer Science
Drug Discovery,Chemistry
Economics,Social and Behavioural Science
Education Science,Social and Behavioural Science
Electromagnetism,Physics
Environmental Science,Earth Science
Ergonomics,Systems Engineering
Fine Arts,Humanities
Fisheries Science,Life Science
Food Chemistry,Chemistry
Functional Materials Research,Materials Science
Geochemistry,Chemistry
Geography,Earth Science
Geology,Earth Science
Geophysics,Earth Science
Health Science,Life Science
History,Humanities
Human-Machine Systems Engineering,Systems Engineering
Informatics,Computer Science
Jurisprudence,Social and Behavioural Science
Knowledge and Information Systems,Computer Science
Linguistics,Humanities
Literary Studies,Humanities
Logistics Engineering,Systems Engineering
Materials Informatics,Materials Science
Materials Structuring and Functionalisation,Materials Science
Mathematical Psychology,Mathematics
Measurement Systems,Systems Engineering
Mechanical Behaviour of Construction Materials,Materials Engineering
Mechanical Process Engineering,Process Engineering
Mechanics,Mechanical Engineering
Mechanics,Physics
Medicine,Life Science
Metallurgy,Materials Engineering
Meteorology,Physics
Microstructural Mechanical Properties of Materials,Materials Science
Microsystems,Systems Engineering
Molecular Chemistry,Chemistry
Nanotechnology,Chemistry
Nanotechnology,Computer Science
Nanotechnology,Materials Science
Nanotechnology,Physics
Natural History,Life Science
Nonlinear Dynamics,Mathematics
Nonlinear Dynamics,Physics
Oceanography,Earth Science
Organic Chemistry,Chemistry
Paleontology,Earth Science
"Particles, Nuclei and Fields",Physics
Philosophy,Humanities
Physical Chemistry,Chemistry
Polymer Physics,Physics
Polymer Research,Chemistry
Polymer Research,Materials Science
Population Dynamics,Mathematics
Power Engineering,Electrical Engineering
Production Technology,Industrial Engineering
Psychology,Social and Behavioural Science
Pure Mathematics,Mathematics
Robotics,Systems Engineering
Safety Science,Industrial Engineering
Scientific Instrument Design,Mechanical Engineering
Sintering,Materials Engineering
Social Science,Social and Behavioural Science
Soft Matter Physics,Physics
Software Engineering,Computer Science
Soil Science,Earth Science
Solid-State Chemistry,Materials Science
Statistical Physics,Physics
Statistics,Mathematics
Synthetic Biology,Bioengineering
Synthetic Chemistry,Chemistry
Technical Chemistry,Chemistry
Technical Chemistry,Process Engineering
Telecommunication Engineering,Electrical Engineering
Theology,Humanities
Theoretical Chemistry,Chemistry
Theoretical Computer Science,Computer Science
Thermal Engineering,Energy Engineering
Thermodynamics,Physics
Thermomechanical Processing,Process Engineering
Water Research,Earth Science
